,TP9,AF7,AF8,TP10,Right AUX,timestamps
195,-36.621,-42.969,-35.645,-22.461,0.000,1659355776.836
196,-41.992,-51.758,-35.645,-26.855,0.000,1659355776.840
197,-44.434,-50.293,-27.344,-41.504,0.000,1659355776.844
198,-38.086,-45.898,-33.203,-41.504,0.000,1659355776.847
199,-25.391,-44.922,-37.109,-33.691,0.000,1659355776.851
200,-26.855,-42.480,-35.645,-29.297,0.000,1659355776.854
201,-32.227,-43.945,-38.086,-34.180,0.000,1659355776.858
202,-37.109,-44.434,-36.621,-44.922,0.000,1659355776.861
203,-40.527,-48.340,-38.574,-34.668,0.000,1659355776.865
204,-30.273,-48.340,-34.180,-19.043,0.000,1659355776.871
205,-31.738,-41.016,-34.180,-29.785,0.000,1659355776.875
206,-37.598,-42.969,-32.227,-27.344,0.000,1659355776.879
207,-36.133,-41.992,-36.621,-18.555,0.000,1659355776.882
208,-32.227,-36.133,-38.574,-22.461,0.000,1659355776.886
209,-24.902,-39.551,-25.879,-23.926,0.000,1659355776.889
210,-21.484,-40.039,-24.902,-28.320,0.000,1659355776.893
211,-26.367,-40.039,-24.414,-18.555,0.000,1659355776.896
212,-20.020,-40.039,-24.902,-18.066,0.000,1659355776.900
213,-28.320,-33.691,-30.273,-38.086,0.000,1659355776.904
214,-37.598,-38.086,-29.297,-40.527,0.000,1659355776.907
215,-26.855,-38.086,-24.902,-38.086,0.000,1659355776.911
216,-22.949,-30.762,-28.320,-26.367,0.000,1659355776.917
217,-24.902,-27.344,-33.691,-22.461,0.000,1659355776.921
218,-19.531,-28.809,-33.203,-29.785,0.000,1659355776.924
219,-17.090,-31.250,-29.297,-28.320,0.000,1659355776.928
220,-8.789,-29.785,-33.691,-28.320,0.000,1659355776.931
221,-10.254,-26.855,-33.203,-27.344,0.000,1659355776.935
222,-26.367,-32.227,-24.414,-18.555,0.000,1659355776.939
223,-23.438,-37.598,-25.879,-26.367,0.000,1659355776.942
224,-23.926,-31.250,-27.832,-28.809,0.000,1659355776.946
225,-24.902,-31.250,-24.902,-18.555,0.000,1659355776.949
226,-27.832,-32.715,-22.461,-14.648,0.000,1659355776.953
227,-26.367,-31.250,-21.484,-20.508,0.000,1659355776.957
