,TP9,AF7,AF8,TP10,Right AUX,timestamps
190,-0.488,-106.934,-67.871,43.457,0.000,1659356055.293
191,10.742,-103.516,-64.453,44.434,0.000,1659356055.296
192,4.395,-105.469,-63.965,43.457,0.000,1659356055.303
193,-0.977,-106.445,-61.523,37.598,0.000,1659356055.307
194,0.000,-105.957,-63.477,37.109,0.000,1659356055.310
195,5.371,-106.445,-65.430,41.504,0.000,1659356055.314
196,15.137,-100.586,-61.523,48.828,0.000,1659356055.317
197,15.137,-99.121,-64.941,41.992,0.000,1659356055.321
198,12.695,-97.656,-67.871,35.156,0.000,1659356055.324
199,18.066,-93.750,-67.871,43.457,0.000,1659356055.328
200,25.879,-93.262,-66.406,48.340,0.000,1659356055.331
201,21.484,-89.355,-59.570,44.434,0.000,1659356055.335
202,8.789,-86.426,-60.547,44.434,0.000,1659356055.339
203,5.371,-85.449,-66.895,55.176,0.000,1659356055.342
204,-0.977,-82.520,-65.430,59.082,0.000,1659356055.349
205,-13.184,-82.031,-64.453,45.898,0.000,1659356055.352
206,-16.602,-78.125,-62.988,38.086,0.000,1659356055.356
207,-20.508,-71.777,-62.500,37.598,0.000,1659356055.359
208,-27.832,-73.242,-65.918,36.621,0.000,1659356055.363
209,-34.668,-76.172,-63.965,36.621,0.000,1659356055.366
210,-41.504,-76.172,-65.430,27.344,0.000,1659356055.370
211,-43.457,-76.172,-67.383,24.414,0.000,1659356055.374
212,-38.574,-77.637,-62.012,24.902,0.000,1659356055.377
213,-36.621,-82.031,-60.547,18.555,0.000,1659356055.381
214,-34.180,-83.984,-62.500,12.207,0.000,1659356055.384
215,-32.715,-81.543,-60.547,15.625,0.000,1659356055.388
216,-35.156,-74.707,-58.105,15.625,0.000,1659356055.394
217,-36.621,-71.289,-60.547,7.324,0.000,1659356055.398
218,-35.156,-71.777,-61.523,3.906,0.000,1659356055.401
219,-33.691,-68.848,-59.082,0.977,0.000,1659356055.405
220,-37.598,-65.918,-62.012,2.930,0.000,1659356055.409
221,-39.551,-62.012,-66.406,6.836,0.000,1659356055.412
222,-34.668,-61.035,-62.012,11.230,0.000,1659356055.416
223,-33.691,-67.383,-60.547,15.625,0.000,1659356055.419
224,-32.715,-65.918,-60.059,12.207,0.000,1659356055.423
225,-27.832,-60.547,-56.641,3.906,0.000,1659356055.426
226,-26.855,-60.059,-58.105,7.324,0.000,1659356055.430
227,-25.391,-61.035,-57.617,6.348,0.000,1659356055.434
228,-12.695,-57.617,-54.199,0.488,0.000,1659356055.440
229,-13.184,-62.012,-54.199,5.859,0.000,1659356055.443
230,-22.949,-66.895,-55.664,7.812,0.000,1659356055.447
231,-18.555,-58.594,-56.152,10.254,0.000,1659356055.451
232,-10.254,-55.664,-55.664,16.602,0.000,1659356055.454
233,0.000,-63.965,-60.547,24.414,0.000,1659356055.458
234,9.277,-67.871,-58.105,38.574,0.000,1659356055.461
235,-12.207,-68.848,-54.688,25.879,0.000,1659356055.465
236,-25.391,-62.012,-55.664,1.953,0.000,1659356055.469
237,-17.578,-59.082,-51.270,12.207,0.000,1659356055.472
238,-22.949,-60.059,-51.270,20.020,0.000,1659356055.476
239,-24.414,-60.547,-51.270,16.602,0.000,1659356055.479
240,-15.625,-62.988,-50.293,14.160,0.000,1659356055.485
241,-6.836,-62.500,-49.316,13.184,0.000,1659356055.489
242,-13.672,-63.477,-52.734,6.348,0.000,1659356055.493
243,-23.926,-66.406,-54.688,3.906,0.000,1659356055.496
244,-16.113,-65.430,-47.852,14.160,0.000,1659356055.500
245,-12.695,-67.871,-46.875,18.066,0.000,1659356055.504
246,-14.648,-70.801,-46.387,20.020,0.000,1659356055.507
247,-12.695,-68.848,-49.805,20.508,0.000,1659356055.511
248,-17.578,-67.383,-56.152,9.766,0.000,1659356055.514
249,-24.414,-70.312,-53.223,5.859,0.000,1659356055.518
250,-25.879,-72.754,-49.805,13.672,0.000,1659356055.522
251,-22.949,-68.359,-46.875,15.625,0.000,1659356055.525
252,-24.414,-67.383,-45.898,13.184,0.000,1659356055.531
253,-24.902,-66.406,-48.340,14.160,0.000,1659356055.535
254,-24.902,-68.359,-48.828,12.207,0.000,1659356055.538
255,-25.879,-72.754,-45.410,8.301,0.000,1659356055.542
256,-24.414,-70.801,-41.504,9.766,0.000,1659356055.545
257,-33.691,-69.824,-41.504,9.766,0.000,1659356055.549
258,-36.133,-68.359,-46.875,6.348,0.000,1659356055.553
259,-32.227,-64.941,-44.434,11.719,0.000,1659356055.556
260,-30.273,-63.965,-42.969,14.160,0.000,1659356055.560
261,-28.320,-68.848,-44.922,7.324,0.000,1659356055.564
