,TP9,AF7,AF8,TP10,Right AUX,timestamps
281,971.191,972.168,971.680,972.168,0.000,1659355579.296
282,971.191,971.680,971.680,972.168,0.000,1659355579.299
283,971.191,971.680,971.680,971.680,0.000,1659355579.302
284,971.191,972.168,972.168,971.680,0.000,1659355579.305
285,971.191,972.168,971.680,971.680,0.000,1659355579.308
286,971.191,971.680,971.680,972.168,0.000,1659355579.311
287,971.191,972.168,972.168,972.168,0.000,1659355579.314
288,971.191,972.168,972.168,971.680,0.000,1659355579.325
289,971.680,971.680,971.680,971.680,0.000,1659355579.328
290,971.191,971.680,972.168,971.680,0.000,1659355579.331
291,971.191,971.680,972.168,971.680,0.000,1659355579.334
292,971.680,971.680,972.168,971.680,0.000,1659355579.337
293,971.191,971.680,972.168,971.680,0.000,1659355579.340
294,971.191,971.680,971.680,971.680,0.000,1659355579.343
295,971.191,971.680,972.168,972.168,0.000,1659355579.346
296,971.680,972.168,972.168,971.680,0.000,1659355579.349
297,969.727,972.168,971.680,972.168,0.000,1659355579.352
298,973.633,971.680,972.168,972.168,0.000,1659355579.356
299,969.238,971.680,972.168,971.680,0.000,1659355579.359
300,946.289,971.680,971.680,971.680,0.000,1659355579.370
301,948.242,972.168,971.680,972.168,0.000,1659355579.373
302,990.723,972.168,972.168,971.680,0.000,1659355579.376
303,979.980,971.680,971.680,971.680,0.000,1659355579.379
304,594.727,971.680,971.680,972.168,0.000,1659355579.382
305,807.617,972.168,971.680,971.680,0.000,1659355579.385
306,-961.426,971.680,972.168,971.680,0.000,1659355579.388
307,940.918,971.680,972.168,971.680,0.000,1659355579.391
308,980.957,972.168,971.191,971.680,0.000,1659355579.394
309,971.191,971.680,970.703,971.680,0.000,1659355579.397
310,971.191,971.680,972.168,971.680,0.000,1659355579.400
311,971.191,972.168,964.844,971.680,0.000,1659355579.403
312,971.191,971.680,951.660,971.680,0.000,1659355579.415
313,971.191,971.680,948.242,971.680,0.000,1659355579.418
314,971.191,972.168,950.684,971.680,0.000,1659355579.421
315,971.191,972.168,950.195,971.680,0.000,1659355579.424
316,971.191,971.680,944.824,971.680,0.000,1659355579.427
317,971.191,971.680,938.477,971.680,0.000,1659355579.430
318,971.191,971.680,943.848,972.168,0.000,1659355579.433
319,971.191,972.168,946.289,972.168,0.000,1659355579.436
320,971.191,971.680,936.035,971.680,0.000,1659355579.439
321,971.191,972.168,928.223,971.680,0.000,1659355579.442
322,971.191,972.168,933.594,971.680,0.000,1659355579.445
323,971.191,971.680,936.035,972.168,0.000,1659355579.448
324,971.191,971.680,928.711,972.168,0.000,1659355579.460
325,971.191,971.680,920.410,971.680,0.000,1659355579.463
326,972.656,971.680,920.410,971.680,0.000,1659355579.466
327,960.449,972.168,921.387,971.680,0.000,1659355579.469
328,987.305,972.168,913.574,971.680,0.000,1659355579.472
329,954.590,972.168,904.297,972.168,0.000,1659355579.476
330,799.316,972.168,898.438,972.168,0.000,1659355579.479
331,931.152,971.680,896.973,972.168,0.000,1659355579.482
332,994.629,972.168,890.625,971.680,0.000,1659355579.485
333,958.496,972.168,879.395,972.168,0.000,1659355579.488
334,975.586,971.680,837.891,972.168,0.000,1659355579.491
335,971.191,972.656,813.477,971.680,0.000,1659355579.494
336,971.191,959.473,790.527,972.168,0.000,1659355579.506
337,971.191,-988.770,759.277,972.168,0.000,1659355579.509
338,971.191,803.711,708.496,972.168,0.000,1659355579.512
339,971.191,750.488,664.062,972.168,0.000,1659355579.515
340,971.191,972.168,664.551,971.680,0.000,1659355579.518
341,971.191,-972.656,666.016,971.680,0.000,1659355579.521
342,971.191,776.855,650.391,971.680,0.000,1659355579.524
343,971.191,610.352,575.195,971.680,0.000,1659355579.527
344,971.191,957.520,571.777,971.680,0.000,1659355579.530
345,971.191,-994.629,572.266,971.680,0.000,1659355579.534
346,971.191,928.711,501.465,971.680,0.000,1659355579.537
347,971.191,740.723,436.523,972.168,0.000,1659355579.540
348,971.191,888.672,437.988,972.168,0.000,1659355579.550
349,971.191,-997.559,477.539,971.680,0.000,1659355579.554
350,971.191,957.520,444.336,971.680,0.000,1659355579.557
351,971.191,975.098,352.539,972.168,0.000,1659355579.560
352,971.191,971.680,366.699,972.168,0.000,1659355579.563
353,971.191,972.168,446.289,971.680,0.000,1659355579.566
354,971.191,971.680,417.480,971.680,0.000,1659355579.569
355,971.191,971.680,323.730,971.680,0.000,1659355579.572
356,971.191,971.680,322.266,972.168,0.000,1659355579.575
357,971.191,971.680,380.859,971.680,0.000,1659355579.578
358,971.191,971.680,415.527,971.680,0.000,1659355579.582
359,971.191,972.168,387.695,971.680,0.000,1659355579.585
360,971.191,972.168,393.066,971.680,0.000,1659355579.596
361,971.191,971.680,427.246,972.168,0.000,1659355579.600
362,971.191,971.680,413.086,972.168,0.000,1659355579.603
363,971.191,971.680,438.965,972.168,0.000,1659355579.606
364,971.191,972.168,457.520,972.168,0.000,1659355579.609
365,971.191,972.168,519.531,971.680,0.000,1659355579.612
366,971.191,971.680,512.695,971.680,0.000,1659355579.615
367,971.191,972.168,503.418,972.168,0.000,1659355579.618
368,971.191,971.680,522.949,972.168,0.000,1659355579.622
369,971.191,971.680,525.879,971.680,0.000,1659355579.625
370,971.191,972.168,509.277,972.168,0.000,1659355579.628
371,971.191,971.680,589.844,972.168,0.000,1659355579.631
372,0.000,971.680,680.176,971.680,0.000,1659355579.643
373,0.000,971.680,660.156,971.680,0.000,1659355579.646
374,0.000,972.168,621.582,971.680,0.000,1659355579.649
375,0.000,971.680,628.906,971.680,0.000,1659355579.652
376,0.000,972.168,672.363,972.168,0.000,1659355579.655
377,0.000,971.680,664.551,972.168,0.000,1659355579.658
378,0.000,971.680,634.277,971.680,0.000,1659355579.662
379,0.000,972.168,609.375,972.168,0.000,1659355579.665
380,0.000,972.168,660.156,972.168,0.000,1659355579.668
381,0.000,972.168,626.465,972.168,0.000,1659355579.671
382,0.000,971.680,583.984,972.168,0.000,1659355579.674
383,0.000,971.680,592.773,971.680,0.000,1659355579.677
384,971.191,972.168,612.793,972.168,0.000,1659355579.689
385,971.191,972.168,599.121,972.168,0.000,1659355579.692
386,971.191,971.680,578.125,971.680,0.000,1659355579.695
387,971.680,972.168,606.934,971.680,0.000,1659355579.698
388,971.191,971.680,621.094,971.680,0.000,1659355579.702
389,971.191,971.680,639.160,971.680,0.000,1659355579.705
390,971.680,972.168,691.406,971.680,0.000,1659355579.708
391,971.191,972.168,718.262,972.168,0.000,1659355579.711
392,971.191,972.168,709.961,985.840,0.000,1659355579.714
393,971.191,972.168,720.215,916.504,0.000,1659355579.718
394,971.191,971.680,698.730,-972.168,0.000,1659355579.721
395,971.191,971.680,718.262,821.777,0.000,1659355579.724
396,971.680,972.168,741.211,-589.844,0.000,1659355579.735
397,971.191,972.168,734.375,-1000.000,0.000,1659355579.739
398,971.680,971.680,730.469,-933.594,0.000,1659355579.742
399,971.680,971.680,760.254,-1000.000,0.000,1659355579.745
400,971.191,972.168,794.434,-1000.000,0.000,1659355579.748
401,971.191,972.168,848.145,-1000.000,0.000,1659355579.751
402,971.191,971.680,878.906,-1000.000,0.000,1659355579.755
403,971.191,972.168,877.441,-1000.000,0.000,1659355579.758
404,971.680,972.168,872.559,-1000.000,0.000,1659355579.761
405,971.680,972.168,861.328,-1000.000,0.000,1659355579.764
406,971.191,972.168,863.770,-1000.000,0.000,1659355579.767
407,971.191,972.168,856.445,-1000.000,0.000,1659355579.771
408,971.191,972.168,826.660,-1000.000,0.000,1659355579.781
409,971.191,971.680,808.105,-1000.000,0.000,1659355579.784
410,971.191,971.680,842.285,-1000.000,0.000,1659355579.787
411,971.680,972.168,832.520,-1000.000,0.000,1659355579.791
412,971.191,972.168,790.039,-1000.000,0.000,1659355579.794
413,971.191,972.168,786.621,-1000.000,0.000,1659355579.797
414,971.680,972.168,804.688,-1000.000,0.000,1659355579.800
415,971.191,972.168,849.609,-1000.000,0.000,1659355579.803
416,971.191,972.168,829.102,-1000.000,0.000,1659355579.807
417,971.680,972.168,799.316,-1000.000,0.000,1659355579.810
418,971.191,972.168,836.914,-1000.000,0.000,1659355579.813
419,971.680,972.168,857.422,-1000.000,0.000,1659355579.816
420,971.191,972.168,826.660,-1000.000,0.000,1659355579.827
421,971.191,972.168,787.109,-1000.000,0.000,1659355579.830
422,971.191,972.168,805.176,-1000.000,0.000,1659355579.833
423,971.191,972.168,806.641,-1000.000,0.000,1659355579.836
424,971.191,972.168,775.391,-1000.000,0.000,1659355579.840
425,971.191,972.168,736.816,-1000.000,0.000,1659355579.843
426,971.191,972.168,748.535,-1000.000,0.000,1659355579.846
427,971.191,971.680,760.742,-1000.000,0.000,1659355579.849
428,971.680,972.168,706.543,-1000.000,0.000,1659355579.853
429,971.680,972.168,677.246,-1000.000,0.000,1659355579.856
430,971.680,972.168,595.703,-1000.000,0.000,1659355579.859
431,971.191,972.168,553.711,-1000.000,0.000,1659355579.862
432,0.000,972.168,549.316,-1000.000,0.000,1659355579.873
433,0.000,972.168,520.020,-1000.000,0.000,1659355579.876
434,0.000,972.168,443.848,-1000.000,0.000,1659355579.879
