timestamps,TP9,AF7,AF8,TP10,Right AUX
1659217162.357,-139.648,-581.055,13.184,94.727,0.0
1659217162.361,-204.102,-581.055,11.719,58.594,0.0
1659217162.364,-216.797,-580.078,10.254,40.039,0.0
1659217162.368,-154.785,-578.125,5.859,65.43,0.0
1659217162.374,-136.23,-577.148,0.977,82.52,0.0
1659217162.377,-210.938,-567.871,-0.488,23.438,0.0
1659217162.381,-257.812,-554.688,1.465,-21.973,0.0
1659217162.384,-194.336,-548.34,4.883,20.508,0.0
1659217162.388,-76.172,-546.387,6.348,126.465,0.0
1659217162.391,-90.332,-546.387,6.348,122.559,0.0
1659217162.395,-241.211,-545.898,4.395,-10.742,0.0
1659217162.399,-291.992,-540.527,5.859,-56.152,0.0
1659217162.402,30.762,-529.297,3.906,218.262,0.0
1659217162.406,134.277,-526.855,5.371,322.266,0.0
1659217162.409,-290.039,-529.297,6.836,-30.273,0.0
1659217162.413,-449.219,-532.227,1.953,-175.781,0.0
1659217162.42,-29.785,-532.227,-0.977,168.457,0.0
1659217162.424,185.547,-535.156,-3.418,348.633,0.0
1659217162.427,-280.273,-541.992,2.441,-49.316,0.0
1659217162.431,-502.441,-541.016,6.836,-267.578,0.0
1659217162.434,-106.934,-539.551,4.883,62.012,0.0
1659217162.438,217.285,-536.133,7.324,368.652,0.0
1659217162.442,-169.434,-540.039,5.859,44.434,0.0
1659217162.445,-545.41,-541.992,3.418,-299.316,0.0
1659217162.449,-254.883,-531.25,4.883,-77.148,0.0
1659217162.452,206.543,-526.367,2.441,320.312,0.0
1659217162.456,-4.883,-532.715,-4.883,131.348,0.0
1659217162.46,-448.73,-536.621,-18.066,-258.789,0.0
1659217162.466,-311.523,-534.18,-3.418,-137.695,0.0
1659217162.47,130.859,-531.25,12.695,238.281,0.0
1659217162.474,94.727,-529.785,9.766,215.82,0.0
1659217162.477,-425.781,-531.25,16.602,-224.121,0.0
1659217162.481,-507.812,-529.785,28.32,-307.129,0.0
1659217162.484,-55.176,-519.043,32.715,74.707,0.0
1659217162.488,145.996,-507.324,30.273,248.535,0.0
1659217162.492,-341.309,-514.16,33.691,-176.758,0.0
1659217162.495,-584.961,-517.578,35.156,-389.648,0.0
